area_id,impact_id,name,name_html,info,info_html,geography
1,3,AI might worsen the hollowing out of the middle class and widening of socioeconomic inequality by affecting manufacturing and demand for labor.,"<a href=""https://content.sciendo.com/view/journals/izajolp/9/1/article-20190004.xml?language=en#j_izajolp-2019-0004_ref_061_w2aab3b8c46b1b7b1ab2b2c61Aa"" target=""_blank"">AI might worsen the hollowing out of the middle class and widening of socioeconomic inequality by affecting manufacturing and demand for labor</a>.","The current wave of AI-driven technological change comes at a time when the anticipated benefits from the previous wave of digitization have not been even distributed and where costs – in the form of historic rates of inequality and low income growth for the middle class – are manifesting. Society has been through cycles of creative destruction before, where new technology makes certain forms of labor redundant, but concerns are rising that this time, increases in unemployment and drops in earnings might be permanent. In periods of stagnating output, increases in labor productivity induced by new technologies necessarily lead to a fall in labor demand. Even if AI does not lead to fewer jobs, such shifts could cause working conditions to deteriorate and earnings to fall further behind productivity, as they already have in the past. Women, ethnic and racial minorities, rural, and lower-income individuals will be disproportionately affected by such shifts. Women are overrepresented in vulnerable and informal employment sectors in low and lower-middle income countries, and they systematically lack social protections including sick pay, maternity pay, parental leave or the opportunity to unionize.","The current wave of AI-driven technological change comes at a time when the anticipated benefits from the previous wave of digitization have not been even distributed and where costs – in the form of historic rates of inequality and low income growth for the middle class – are manifesting. Society has been through cycles of creative destruction before, where new technology makes certain forms of labor redundant, but concerns are rising that this time, increases in unemployment and drops in earnings might be permanent. In periods of stagnating output, increases in labor productivity induced by new technologies necessarily lead to a fall in labor demand. <br/><br/>Even if AI does not lead to fewer jobs, such shifts could cause working conditions to deteriorate and earnings to fall further behind productivity, as they already have in the past. Women, ethnic and racial minorities, rural, and lower-income individuals will be disproportionately affected by such shifts. Women are overrepresented in vulnerable and informal employment sectors in low and lower-middle income countries, and they systematically lack social protections including sick pay, maternity pay, parental leave or the opportunity to unionize.",Globally
5,3,Racial discrimination in consumer mortgage lending and housing.,Racial discrimination in consumer mortgage lending and housing.,"AI could amplify discrimination against racial minorities in consumer mortgage lending and housing, found a study at UC Berkeley.","AI could amplify discrimination against racial minorities in consumer mortgage lending and housing, <a href=""http://faculty.haas.berkeley.edu/morse/research/papers/discrim.pdf"" target=""_blank"">found a study at UC Berkeley.</a>",United States
2,4,AI is intensifying energy consumption.,AI is intensifying energy consumption.,"The environmental movement originally saw tech and digital transformation as an efficiency for a resource-depleted planet. The dream of ""the paperless office"" has given way to the reality of planned obsolescence and e-waste and huge carbon footprints of the server farms that power cloud computing, encryption methods like Bitcoin, and AI models.Research suggests that AI is intensifying energy consumption, especially from the development of AI by major tech companies: Amazon, Microsoft, and Google. Currently, there is little to no information about how much energy big tech’s algorithms consume, but data suggest that the biggest carbon emissions are coming from training models and the storing of large datasets and a training a single AI model can emit as much carbon as five cars in their lifetime. The ad tech industry is assumed to be the biggest pollutant in this area.","The environmental movement originally saw tech and digital transformation as an efficiency for a resource-depleted planet. The dream of ""the paperless office"" has given way to the reality of planned obsolescence and e-waste and huge carbon footprints of the server farms that power cloud computing, encryption methods like Bitcoin, and AI models.Research suggests that AI is intensifying energy consumption, especially from the development of AI by major tech companies: Amazon, Microsoft, and Google. Currently, there is little to no information about how much energy big tech’s algorithms consume, but <a href=""https://medium.com/@AINowInstitute/ai-and-climate-change-how-theyre-connected-and-what-we-c%20an-do-about-it-6aa8d0f5b32c"" target=""_blank"">data suggest that the biggest carbon emissions are coming from training models </a>and the storing of large datasets and a <a href=""https://www.technologyreview.com/2019/06/06/239031/training-a-single-ai-model-can-emit-as-much-carbon-as-five-cars-in-their-lifetimes/"" target=""_blank"">training a single AI model can emit as much carbon as five cars in their lifetime.</a> The ad tech industry is assumed to be the biggest pollutant in this area.","Research on energy emissions/impact of AI is from the Global North, but the disproportionate impacts of energy consumption and climate change is almost always in the Global South."
2,5,AI is accelerating fossil fuel extraction.,AI is accelerating fossil fuel extraction.,"The AI supply chain is powered by extractive industries, and the mining of materials needed for computational devices. AI is also used for extractive purposes — for example, AI is being used to pinpoint the exact location for water extraction, which is further privatizing water management. In addition, a Greenpace report exposes how the three largest cloud companies — Amazon (33% market share), Microsoft (18%), and Google (8%) — are partnering with oil companies to use artificial intelligence technologies to accelerate the unlocking of oil and gas deposits in the US and around the world at a time where we cannot afford any additional carbon in the atmosphere.","The <a href=""https://anatomyof.ai/"" target=""_blank"">AI supply chain is powered by extractive industries, and the mining of materials needed for computational devices</a>. AI is also used for extractive purposes — for example, AI is being used to pinpoint the exact location for water extraction, which is further privatizing water management. In addition, a <a href=""https://www.greenpeace.org/usa/reports/oil-in-the-cloud/"" target=""_blank"">Greenpace report exposes</a> how the three largest cloud companies — Amazon (33% market share), Microsoft (18%), and Google (8%) — are partnering with oil companies to use artificial intelligence technologies to accelerate the unlocking of oil and gas deposits in the US and around the world at a time where we cannot afford any additional carbon in the atmosphere.",Globally
1,6,Tech workers who speak up risk retaliation.,Tech workers who speak up risk retaliation.,"As described in Mozilla's ""Trustworthy AI"" white paper: When tech workers do decide to organize and speak out about their companies’ business decisions, they run the risk of retaliation. At Google, Amazon, and Wayfair, tech workers have been fired or penalized for protesting their companies’ contracts with US Immigration & Customs Enforcement (ICE).","As described in Mozilla's <a href=""https://foundation.mozilla.org/en/insights/trustworthy-ai-whitepaper/ai-challenges/"" target=""_blank"">""Trustworthy AI"" white paper:</a> When tech workers do decide to organize and speak out about their companies’ business decisions, they run the risk of retaliation. At Google, Amazon, and Wayfair, tech workers have been fired or penalized for protesting their companies’ contracts with US Immigration & Customs Enforcement (ICE).",United States
1,6,The tech workers who perform the invisible maintenance of AI are particularly vulnerable to exploitation and overwork.,"The tech workers who perform the invisible maintenance of AI<a href=""https://www.theverge.com/2019/2/25/18229714/cognizant-facebook-content-moderator-interviews-trauma-working-conditions-arizona"" target=""_blank""> are particularly vulnerable to exploitation and overwork.</a>","Companies building AI-powered services rely on a vast network of on-demand workers to clean and label datasets, and to train and improve models. Workers who perform content moderation for platforms like Facebook and Twitter, for instance, are regularly subjected to disturbing imagery, sounds, and language, suffering serious mental health problems and secondhand trauma as a result.","Companies building AI-powered services rely on a vast network of on-demand workers to clean and label datasets, and to train and improve models. Workers who perform content moderation for platforms like Facebook and Twitter, for instance, are regularly subjected to disturbing imagery, sounds, and language, suffering serious mental health problems and secondhand trauma as a result.",United States
1,6,Employers are increasingly turning to surveillance technologies to monitor remote workers' activity on electronic devices and measure their productivity.,"Employers are increasingly turning to <a href=""https://news.trust.org/item/20210107111527-x235l/"" target=""_blank"">surveillance technologies to monitor remote workers' activity on electronic devices and measure their productivity.</a>","Microsoft promoting its own productivity monitoring tools late last year, that was the clearest sign this was becoming very mainstream. (N.B.: In December, after labour groups like Prospect criticized productivity measuring tools in Microsoft 365 software, the company made changes to bolster privacy in the suite of apps, such as giving managers visibility into aggregated data rather than individual activity.","Microsoft promoting its own productivity monitoring tools late last year, that was the clearest sign this was becoming very mainstream. (N.B.: In December, after labour groups like Prospect criticized productivity measuring tools in Microsoft 365 software, the company made changes to bolster privacy in the suite of apps, such as giving managers visibility into aggregated data rather than individual activity.",Globally
1,6,Algorithmic gig workers management might violate their rights.,Algorithmic gig workers management might violate their rights.,"Few employment laws around the world adequately reflect the realities of the gig economy and its reliance on algorithmic management. This form of labor is often precarious and temporary, with few benefits and little support. Further, the workers don't have access to their own data or the possibility to influence or verify how the algorithm works in managing them, while the pandemic exposes them to increased risks and surveillance. A recent Italian court ruling found that Deliveroo's algorithmic management of its gig workers violated Italian labor law by punishing workers for exercising their labor rights, such as staying home when sick. In the 2020 election, California voters rejected workers' bid to be considered legal employees of platforms like Lyft and Uber, leaving them in a precarious contractor status.","Few employment laws around the world adequately reflect the realities of the gig economy and its reliance on algorithmic management. This form of labor is often <a href=""https://www.aljazeera.com/economy/2020/7/1/brazil-deliverymen-for-uber-other-apps-protest-amid-pandemic"" target=""_blank"">precarious and temporary</a>, with few benefits and little support. Further, the workers don't have access to their own data or the possibility to influence or verify how the algorithm works in managing them, while the pandemic exposes them <a href=""https://www.adalovelaceinstitute.org/blog/covid-19-gig-economy-hunger-for-surveillance/"" target=""_blank"">to increased risks and surveillance.</a> A recent <a href=""https://twitter.com/IvanaBartoletti/status/1345992299323531264?s=20"" target=""_blank"">Italian court ruling found that Deliveroo's algorithmic management of its gig workers violated Italian labor law</a> by punishing workers for exercising their labor rights, such as staying home when sick. In the 2020 election, California voters <a href=""https://www.nytimes.com/2020/11/04/technology/california-uber-lyft-prop-22.html"" target=""_blank"">rejected workers' bid</a> to be considered legal employees of platforms like Lyft and Uber, leaving them in a precarious contractor status.",Globally
1,6,Companies are training untested and infantilizing automated oversight technology on blue collar workers.,Companies are training untested and infantilizing automated oversight technology on blue collar workers.,"Both Amazon and Essity, a Swedish toilet paper manufacturer operating in France, have saddled warehouse employees with proximity alarms they must wear as they work (the Amazon system involves an AI-based wearable camera). The alarms shriek if they spend too much time in proximity of other workers, in the name of reducing the spread of COVID. The French workers are taking the issue up with their union, whereas Amazon's workers are not allowed to opt out.","Both Amazon and Essity, a Swedish toilet paper manufacturer operating in France, have saddled warehouse employees with proximity alarms they must wear as they work (the Amazon system involves an AI-based wearable camera). The alarms shriek if they spend too much time in proximity of other workers, in the name of reducing the spread of COVID. The French workers are <a href=""https://feeds.thelocal.com/app/android/beta/article.php?e=french-workers-furious-at-social-distancing-alarms-in-workplace"" target=""_blank"">taking the issue up with their union</a>, whereas <a href=""https://www.theverge.com/2020/6/16/21292669/social-distancing-amazon-ai-assistant-warehouses-covid-19"" target=""_blank"">Amazon's workers</a> are not allowed to opt out.",Global North
0,7,Majority of extremist group joins on Facebook are due to its recommendation tools.,Majority of extremist group joins on Facebook are due to its recommendation tools.,"An internal Facebook researcher found that “64% of all extremist group joins are due to our recommendation tools”. Facebook's own algorithmic group recommendation products, “Groups You Should Join” and “Discover”, ""grow the problem.” The company has now announced it will no longer recommend political groups with these tools, although previous experience suggests there will be omissions.","<a href=""https://www.wsj.com/articles/facebook-knows-it-encourages-division-top-executives-nixed-solutions-11590507499"" target=""_blank"">An internal Facebook researcher</a> found that “64% of all extremist group joins are due to our recommendation tools”. Facebook's own algorithmic group recommendation products, “Groups You Should Join” and “Discover”, ""grow the problem.” The company <a href=""https://www.reuters.com/article/us-facebook-groups-idUSKBN29X00C"" target=""_blank"">has now announced</a> it will no longer recommend political groups with these tools, although previous experience suggests there will be omissions.",Globally
0,7,AI tech founders with far-right connections.,AI tech founders with far-right connections.,"AI Now Institute discusses the troubling connections between prominent AI tech founders and far-right extremists, which might influence both how AI is developed and deployed at a time when the growing visibility of the far-right has been identified as a major threat to democracies.","AI Now Institute discusses the troubling connections between <a href=""https://medium.com/@AINowInstitute/ai-and-the-far-right-a-history-we-cant-ignore-f81375c3cc57"" target=""_blank"">prominent AI tech founders and far-right extremists</a>, which might influence both how AI is developed and deployed at a time when the growing visibility of the <a href=""https://icct.nl/app/uploads/2020/04/The-growing-power-of-online-communities-of-the-extreme-right.pdf"" target=""_blank"">far-right has been identified as a major threat to democracies.</a>",Globally
0,7,Hate speech is finding new forums in decentralized spaces.,Hate speech is finding new forums in decentralized spaces.,"While it has been often pointed out that YouTube's recommendation engine might push its viewers towards more extreme content addressing major platforms harms might not be enough. As described by Mozilla fellow Emmi Beevensee, even when pushed off of major platforms such as Twitter and YouTube, hate speech is finding new forums in decentralized spaces that are often not yet prepared to deal with it, but that still help these actors reach mass audiences. The resiliency of online communications is proving a hurdle for disrupting the organizing of far-right violence.","While it has been often <a href=""https://www.nytimes.com/2018/03/10/opinion/sunday/youtube-politics-radical.html"" target=""_blank"">pointed out that YouTube's recommendation engine might push its viewers towards more extreme content</a> addressing major platforms harms might not be enough. As described by Mozilla fellow Emmi Beevensee,<a href=""https://foundation.mozilla.org/en/blog/fellow-research-decentralized-web-hate/"" target=""_blank""> even when pushed off of major platforms such as Twitter and YouTube, hate speech is finding new f</a>orums in decentralized spaces that are often not yet prepared to deal with it, but that still help these actors reach mass audiences. The resiliency of online communications is proving a hurdle for disrupting the organizing of far-right violence.",Globally
0,7,Algorithmic online advertising strategies might spread far-right messaging and radicalization.,"<a href=""https://qz.com/1677549/how-the-far-right-tricks-online-shoppers-into-spreading-its-message/"" target=""_blank"">Algorithmic online advertising strategies might spread far-right messaging and radicalization</a>.","This can happen by marketing hate merchandise and brands that can act as literal and ideological gateways to more and more extreme content. Online retail platforms like Amazon routinely fail to moderate their marketplaces, and respond only reactively when media coverage points out offending materials for sale.","This can happen by marketing hate merchandise and brands that <a href=""https://press.princeton.edu/books/hardcover/9780691170206/the-extreme-gone-mainstream"" target=""_blank"">can act as literal and ideological gateways to more and more extreme content.</a> Online retail platforms like Amazon routinely fail to moderate their marketplaces, and respond only reactively when <a href=""https://www.vox.com/recode/2021/1/11/22224722/amazon-oath-keepers-3-three-percenters-hats-badges-merch"" target=""_blank"">media coverage</a> points out offending materials for sale.<br/>",United States
3,8,Online violence against women in politics.,"<a href=""https://carnegieendowment.org/2020/11/30/tackling-online-abuse-and-disinformation-targeting-women-in-politics-pub-83331"" target=""_blank"">Online violence against women in politics</a>.","Women in politics around the world are frequent targets of abuse and threats online, but social media companies and governments are not doing nearly enough to combat it. Lucina Di Meco and Saskia Brechenmacher break down the issue and what can be done to tackle it. Some amount of this harassment is computationally generated with AI bots and tools, and this issue has significant overlap with content moderation dialogues.","Women in politics around the world are frequent targets of abuse and threats online, but social media companies and governments are not doing nearly enough to combat it. Lucina Di Meco and Saskia Brechenmacher break down the issue and what can be done to tackle it. Some amount of this harassment is computationally generated with AI bots and tools, and this issue has significant overlap with content moderation dialogues.",Globally
3,8,"AI-generated fake videos (Deepfakes) are being used to harass, intimidate, demean, undermine, and destabilize women.","AI-generated fake videos (Deepfakes) are being used to harass, intimidate, demean, undermine, and destabilize women.","They are becoming more common (and convincing) and women are being disproportionately affected by them, as seen through deepfake porn. Sensity AI's research reveals deepfake videos are growing rapidly online in 2019, doubling over the last seven months to 14,678, with 96% concerning reputation attacks to public figures in the form of falsified adult material. Websites considered in the analysis received over 134 million views, and the most common victims' country of origin are the US, the UK, South Korea, Canada, and India. Another Sensity AI report outlines an investigation into an underground deepfake bot embedded in Telegram chatrooms was used to synthesize fake naked photos of approximately 104,000 women, using their social media profile pictures without their knowledge. An estimated 70% of the victims are private individuals. Their evidence indicates that the bot had over 100,000 users overall, 70% of whom appeared to be Russian speaking.","They are becoming more common (and convincing) and women are being disproportionately affected by them, as seen through deepfake porn. <a href=""https://sensity.ai/reports/"" target=""_blank"">Sensity AI's research</a> reveals deepfake videos are growing rapidly online in 2019, doubling over the last seven months to 14,678, with <a href=""https://sensity.ai/mapping-the-deepfake-landscape/"" target=""_blank"">96% concerning reputation attacks to public figures in the form of falsified adult material.</a> Websites considered in the analysis received over 134 million views, and the most common victims' country of origin are the US, the UK, South Korea, Canada, and India. Another Sensity AI report outlines an investigation into an underground deepfake bot embedded in Telegram chatrooms was used to synthesize fake naked photos of approximately 104,000 women, using their social media profile pictures without their knowledge. An estimated 70% of the victims are private individuals. Their evidence indicates that the bot had over 100,000 users overall, 70% of whom appeared to be Russian speaking.",Globally
4,9,"The web and AI should be equally accessible to all people, regardless of disability or status.","The web and AI should be equally accessible to all people, regardless of disability or status.",,,n/a
3,10,Data bias due to lack of data on women in the healthcare industry.,Data bias due to lack of data on women in the healthcare industry.,"In Invisible Women, Caroline Criado Perez shares research on the ""gender data gap,"" or paucity of data about women in health and safety. The result is that the healthcare industry is optimized for men, to the detriment and poor health outcomes for non-men. Even more concerning is the potential for new AI-enabled tools to ""learn"" from this data and further increase social inequalities.","In <a href=""https://www.penguin.co.uk/books/111/1113605/invisible-women/9781784706289.html"" target=""_blank"">Invisible Women</a>, Caroline Criado Perez shares research on the ""gender data gap,"" or paucity of data about women in health and safety. The result is that the healthcare industry is optimized for men, to the detriment and poor health outcomes for non-men. Even more concerning is the potential for new AI-enabled tools to ""learn"" from this data and further increase social inequalities.",Globally
2,10,"There’s a need for a better understanding of environmental harms and AI among policy-makers, experts, and the broader public.","There’s a need for a better understanding of environmental harms and AI among policy-makers, experts, and the broader public.","A workshop on ""Trustworthy AI x Climate Crisis"" workshop concluded that ‘Experts’ feel unequipped to talk about this intersection. This is a new field, and there is a general sense that none has the ‘answer.’ Participants expressed a desire to  define the problem and gain a clear understanding of the environmental harms of AI. They wanted to articulate the connections between AI and the climate crisis that addresses underlying power structures and might yield possible solutions. There's also a need for a clear articulation of AI harms on which environments are most likely to be harmed. The analyses should include who and which environments are most likely to be harmed, and a clear understanding of which harms we are talking about, from AI supply chain, carbon emissions, to how it is optimizing the global extraction economy.","A <a href=""https://wiki.mozilla.org/Projects/Sustainability/Workshops"" target=""_blank"">workshop on ""Trustworthy AI x Climate Crisis""</a> workshop concluded that ‘Experts’ feel unequipped to talk about this intersection. This is a new field, and there is a general sense that none has the ‘answer.’ Participants expressed a desire to define the problem and gain a clear understanding of the environmental harms of AI. They wanted to articulate the connections between AI and the climate crisis that addresses underlying power structures and might yield possible solutions. There's also a need for a clear articulation of AI harms on which environments are most likely to be harmed. The analyses should include who and which environments are most likely to be harmed, and a clear understanding of which harms we are talking about, from AI supply chain, carbon emissions, to how it is optimizing the global extraction economy.","Assumed that most important environmental impacts of AI will be felt in Global South/poorer/developing countries, as most impacts of climate crisis/environmental injustice are already felt there."
5,10,"Most US states collapse ethnicity into race in their reporting, obscuring uneven outcomes across distinct communities.","Most US states collapse ethnicity into race in their reporting, obscuring <a href=""https://covidtracking.com/blog/tracking-race-and-ethnicity"" target=""_blank"">uneven outcomes across distinct communities</a>.","There are well-known disparities between the social and economic outcomes of White and Black Hispanic groups.The same issue arises with corporate diversity data. The US form companies are required to use (EEO-1) asks them to match their employees to a limited subset of racial categories, with only one ethnicity category for ""Hispanic."" This makes tracking the diversity of tech companies relative to the overall population a difficult task. To accurately assess disparities in representation and outcomes, we need complete demographic data that treats race and ethnicity as separate but related data layers that can be used to pinpoint community needs.","There are well-known disparities between the social and economic outcomes of White and Black Hispanic groups.The same issue arises with corporate diversity data. The US form companies are required to use (EEO-1) asks them to match their employees to a limited subset of racial categories, with only one ethnicity category for ""Hispanic."" This makes tracking the diversity of tech companies relative to the overall population a difficult task. To accurately assess disparities in representation and outcomes, we need complete demographic data that treats race and ethnicity as separate but related data layers that can be used to pinpoint community needs.",United States
5,10,Lack of data on race/ethnicity leads to biased AI.,Lack of data on race/ethnicity leads to biased AI.,"In the context of race and racism, data helps validate experiences and perspectives that are often undercut, misunderstood, silenced or ignored. It took until 2020 for Facebook to dedicate internal teams to study its main social network and Instagram for racial bias, and in particular, whether its algorithms trained using artificial intelligence adversely affect Black, Hispanic, and other underrepresented groups.","In the context of race and racism, data helps validate experiences and perspectives that are often undercut, misunderstood, silenced or ignored. <a href=""https://www.theverge.com/2020/7/21/21333405/facebook-instagram-racial-bias-equity-team-formed-ai-algorithms"" target=""_blank"">It took until 2020 for Facebook to dedicate internal teams to study its main social network and Instagram for racial bias</a>, and in particular, whether its algorithms trained using artificial intelligence adversely affect Black, Hispanic, and other underrepresented groups.",United States
0,11,Bad actors gaming AI systems to distort results.,Bad actors gaming AI systems to distort results.,"AI systems are prone to gaming by motivated actors, who can distort the results and gain more attention to their venomous message. For example, Google Search’s autocomplete suggestions ""have been hijacked by malicious users to display antisemitic, sexist, and racist language.""","AI systems are prone to gaming by motivated actors, who can distort the results and gain more attention to their venomous message. For example, Google Search’s autocomplete suggestions <a href=""https://foundation.mozilla.org/en/insights/trustworthy-ai-whitepaper/ai-challenges/"" target=""_blank"">""have been hijacked by malicious users to display antisemitic, sexist, and racist language.""</a>",United States
1,11,Funding for AI fueled mental health apps is surging while the field is lacking enough research to be safe.,Funding for AI fueled mental health apps is surging while the field is lacking enough research to be safe.,"A bevy of startups have raised tens of millions of dollars in funding to apply AI and chatbots to provide mental health services to address everything from insomnia to anxiety and depression. This raises immediate ethical concerns around privacy, plus the evidence supporting the use of AI for mental health hasn't yet been established: one scientific review of 73 available mental health apps found only one referenced published scientific literature to support its claims.","A bevy of startups have raised tens of millions of dollars in funding to apply AI and chatbots to provide mental health services to address everything from insomnia to anxiety and depression. This raises immediate <a href=""https://www.statnews.com/2019/08/07/5-questions-mental-health-tech/"" target=""_blank"">ethical concerns</a> around privacy, plus the evidence supporting the use of AI for mental health hasn't yet been established: one <a href=""https://www.nature.com/articles/s41746-019-0093-1"" target=""_blank"">scientific review</a> of 73 available mental health apps found only one referenced published scientific literature to support its claims.",United States
1,11,"Coercive consumerism: the entire Enlightenment concept of free will may be a thing of the past as our autonomy in consumer choice is eroded in the context of algorithms, Big Tech, and targeted ads.","<a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7278769/"" target=""_blank"">Coercive consumerism:</a> the entire Enlightenment concept of free will may be a thing of the past as our autonomy in consumer choice is eroded in the context of algorithms, Big Tech, and targeted ads.","The use of our data to manipulate us into purchasing something we don't need is a new privacy concern. With big data, the possibilities of shaping people’s behaviour have become ever more comprehensive.Today’s online advertising ecosystem runs on data. Companies are tracking you across the web and gathering information that helps them determine which ads are most likely to get you to purchase a product if shown at the right time. Our decisions are influenced by far more forces than we might realize.","The use of our data to manipulate us into purchasing something we don't need is a new privacy concern. With big data, the possibilities of shaping people’s behaviour have become ever more comprehensive.Today’s online advertising ecosystem runs on data. Companies are tracking you across the web and gathering information that helps them determine which ads are most likely to get you to purchase a product if shown at the right time. Our decisions are influenced by far more forces than we might realize.",Globally
1,12,"Big tech accumulates data with acquisitions, hindering competition.","Big tech accumulates data with acquisitions, hindering competition.","Concentration at the top of the tech industry continues unabated, making meaningful competition nearly impossible. Google's proposed acquisition of Fitbit is emblematic of consolidation amongst a small handful of dominant monopoly platforms. The acquisition would give Google even more health data about millions of people. The acquisition has passed review of US and EU competition authorities. The Australian Competition & Consumer Commission, however, rejected Google's proposal due to its likely effect on non-Apple wearable manufacturers, and will rule on whether it will allow the merger by March 25, 2021.","Concentration at the top of the tech industry continues unabated, making meaningful competition nearly impossible. Google's proposed acquisition of Fitbit is emblematic of consolidation amongst a small handful of dominant monopoly platforms. The acquisition would give Google even more health data about millions of people. The acquisition has passed review of US and EU competition authorities. <a href=""https://www.accc.gov.au/media-release/accc-rejects-google-behavioural-undertakings-for-fitbit-acquisition"" target=""_blank"">The Australian Competition &amp; Consumer Commission</a>, however, rejected Google's proposal due to its likely effect on non-Apple wearable manufacturers, and will rule on whether it will allow the merger by March 25, 2021.",Globally
0,13,AI opacity may affect societal issues like election or school determination.,AI opacity may affect societal issues like election or school determination.,"AI systems are commonly the opposite of transparent. Their developers keep their inputs and methods secret due to competition, to prevent gaming of the algorithm (as with Google Search), and often, because they themselves aren't entirely sure how the AI comes up with the outcomes it does. This is a concern for commercial products, but becomes even more problematic when those products affect societal issues. For example, The Markup found that Gmail's black box algorithm controls which political emails arrived in subscribers' main inboxes. Different 2020 presidential candidates had starkly different rates of successful deliverability.The opacity of AI systems is also a troubling issue when the AI is employed by government to determine which school your child goes to, or whether you qualify for social benefits. Major resource allocation decisions like this need to be auditable and accountable, and secret algorithms don't meet those standards.","AI systems are commonly the opposite of transparent. Their developers keep their inputs and methods secret due to competition, to prevent gaming of the algorithm (as with Google Search), and often, because they themselves aren't entirely sure how the AI comes up with the outcomes it does. This is a concern for commercial products, but becomes even more problematic when those products affect societal issues. For example, <a href=""https://themarkup.org/google-the-giant/2020/02/26/wheres-my-email"" target=""_blank"">The Markup</a> found that Gmail's black box algorithm controls which political emails arrived in subscribers' main inboxes. Different 2020 presidential candidates had starkly different rates of successful deliverability.<br/><br/>The opacity of AI systems is also a troubling issue when the AI is employed by government to determine which school your child goes to, or whether you qualify for social benefits. Major resource allocation decisions like this need to be auditable and accountable, and secret algorithms don't meet those standards.",United States
0,14,AI might be deployed to help in the fight for social change.,AI might be deployed to help in the fight for social change.,Social movements don't just suffer from AI's harms — they also employ it toward their own missions. Pro-social AI projects leverage emerging tech to boost their work on existing challenges.,Social movements don't just suffer from AI's harms — they also employ it toward their own missions. Pro-social AI projects leverage emerging tech to boost their work on existing challenges.,n/a
3,15,The creators of deepfakes particularly target and disproportionately impact/sexualize women and girls.,The creators of deepfakes particularly target and disproportionately impact/sexualize women and girls.,"96% of deepfakes in the English-speaking internet are non-consensual adult images of women, according to a Sensity AI 2019 deepfake mapping scan.","96% of deepfakes in the English-speaking internet are non-consensual adult images of women, according to a Sensity AI <a href=""https://sensity.ai/mapping-the-deepfake-landscape/"" target=""_blank"">2019 deepfake mapping scan</a>.",n/a
3,15,AI development in sex robots has the potential for manipulation and coercion.,AI development in sex robots has the potential for manipulation and coercion.,"""AI development in sex robots requires immediate policy attention, presents special risks and opportunities to develop manipulative/coercive AI. Advanced machine learning may allow robots to cultivate love and devotion, the ability to elicit personal information or to manipulate and influence behavior. These capabilities are all theoretically possible, and perhaps more importantly, they are profitable for AI sex robots to cultivate. With the worldwide sex technology reportedly worth 30 billion USD (Kleeman, 2017), the market may incentivize the development of AI capabilities that may be vastly more consequential than blinking silicon sex dolls."" ""Sex Robots — A Harbinger for Emerging AI Risk."" See also: Sexbots: The Ethical Ramifications of Social Robotics’ Dark Side.","""<a href=""https://www.theguardian.com/world/2017/sep/08/ai-gay-gaydar-algorithm-facial-recognition-criticism-stanford"" target=""_blank"">AI development in sex robots</a> requires immediate policy attention, presents special risks and opportunities to develop manipulative/coercive AI. Advanced machine learning may allow robots to cultivate love and devotion, the ability to elicit personal information or to manipulate and influence behavior. These capabilities are all theoretically possible, and perhaps more importantly, they are profitable for AI sex robots to cultivate. With the worldwide sex technology reportedly worth 30 billion USD (Kleeman, 2017), the market may incentivize the development of AI capabilities that may be vastly more consequential than blinking silicon sex dolls."" ""Sex Robots — A Harbinger for Emerging AI Risk."" See also: <a href=""https://sigai.acm.org/static/aimatters/3-4/AIMatters-3-4-11-Wagner.pdf"" target=""_blank"">Sexbots: The Ethical Ramifications of Social Robotics’ Dark Side</a>.",n/a
3,15,Bias search engines return gender discriminating results.,Bias search engines return gender discriminating results.,"Dr. Safiya U. Noble's Algorithms of Oppression: How Search Engines Reinforce Racism exposed how biased search engines would return results for queries like “black girls” with vulgar, sexualized content. It was an early and powerful example of the issues with relying on machine (Google's search algorithm) understanding of datasets.","Dr. Safiya U. Noble's <a href=""https://en.wikipedia.org/wiki/Algorithms_of_Oppression#:~:text=Algorithms%20of%20Oppression%3A%20How%20Search,%2C%20and%20human%2Dcomputer%20interaction."" target=""_blank"">Algorithms of Oppression: How Search Engines Reinforce Racism</a> exposed how biased search engines would return results for <a href=""https://time.com/5209144/google-search-engine-algorithm-bias-racism/"" target=""_blank"">queries like “black girls”</a> with vulgar, sexualized content. It was an early and powerful example of the issues with relying on machine (Google's search algorithm) understanding of datasets.",n/a
5,16,Sao Paolo Metro System deployed a facial recognition system to monitor reactions to ads.,Sao Paolo Metro System deployed a facial recognition system to monitor reactions to ads.,"The Sao Paolo Metro system setup, without warning, a facial recognition system to monitor mass transit users' reactions to advertising, and put out a bid for instituting facial recognition across the transportation network. In both cases, consumer rights group IDEC sued.","<a href=""https://idec.org.br/noticia/idec-e-internetlab-lancam-guia-para-uso-responsavel-do-reconhecimento-facial"" target=""_blank"">The Sao Paolo Metro system</a> setup, without warning, a facial recognition system to monitor mass transit users' reactions to advertising, and put out a bid for instituting facial recognition across the transportation network. In both cases, consumer rights group IDEC sued.",Brazil
